,CH1,CH2
Second,Volt,Volt
-3.52000e-02,-1.56e+02,4.32e+00, 
-3.50000e-02,-1.52e+02,4.56e+00, 
-3.48000e-02,-1.56e+02,4.32e+00, 
-3.46000e-02,-1.52e+02,4.48e+00, 
-3.44000e-02,-1.52e+02,4.40e+00, 
-3.42000e-02,-1.56e+02,4.56e+00, 
-3.40000e-02,-1.52e+02,4.48e+00, 
-3.38000e-02,-1.32e+02,4.24e+00, 
-3.36000e-02,-1.32e+02,4.24e+00, 
-3.34000e-02,-1.16e+02,4.00e+00, 
-3.32000e-02,-1.16e+02,4.00e+00, 
-3.30000e-02,-1.04e+02,3.92e+00, 
-3.28000e-02,-1.04e+02,3.92e+00, 
-3.26000e-02,-8.80e+01,3.68e+00, 
-3.24000e-02,-8.80e+01,3.68e+00, 
-3.22000e-02,-7.20e+01,3.44e+00, 
-3.20000e-02,-7.20e+01,3.44e+00, 
-3.18000e-02,-5.60e+01,3.20e+00, 
-3.16000e-02,-5.20e+01,3.20e+00, 
-3.14000e-02,-4.00e+01,3.12e+00, 
-3.12000e-02,-3.60e+01,3.12e+00, 
-3.10000e-02,-1.60e+01,2.88e+00, 
-3.08000e-02,-1.60e+01,2.80e+00, 
-3.06000e-02,4.00e+00,2.56e+00, 
-3.04000e-02,1.20e+01,2.56e+00, 
-3.02000e-02,3.20e+01,2.24e+00, 
-3.00000e-02,3.60e+01,2.24e+00, 
-2.98000e-02,5.60e+01,1.92e+00, 
-2.96000e-02,5.60e+01,1.92e+00, 
-2.94000e-02,6.80e+01,1.68e+00, 
-2.92000e-02,7.20e+01,1.68e+00, 
-2.90000e-02,8.40e+01,1.60e+00, 
-2.88000e-02,8.80e+01,1.52e+00, 
-2.86000e-02,9.60e+01,1.36e+00, 
-2.84000e-02,1.00e+02,1.36e+00, 
-2.82000e-02,1.12e+02,1.20e+00, 
-2.80000e-02,1.16e+02,1.20e+00, 
-2.78000e-02,1.28e+02,1.12e+00, 
-2.76000e-02,1.28e+02,1.12e+00, 
-2.74000e-02,1.36e+02,8.80e-01, 
-2.72000e-02,1.40e+02,8.80e-01, 
-2.70000e-02,1.48e+02,7.20e-01, 
-2.68000e-02,1.52e+02,8.00e-01, 
-2.66000e-02,1.56e+02,5.60e-01, 
-2.64000e-02,1.56e+02,5.60e-01, 
-2.62000e-02,1.60e+02,7.20e-01, 
-2.60000e-02,1.60e+02,5.60e-01, 
-2.58000e-02,1.56e+02,5.60e-01, 
-2.56000e-02,1.56e+02,7.20e-01, 
-2.54000e-02,1.60e+02,5.60e-01, 
-2.52000e-02,1.56e+02,6.40e-01, 
-2.50000e-02,1.60e+02,5.60e-01, 
-2.48000e-02,1.56e+02,6.40e-01, 
-2.46000e-02,1.60e+02,5.60e-01, 
-2.44000e-02,1.56e+02,5.60e-01, 
-2.42000e-02,1.56e+02,6.40e-01, 
-2.40000e-02,1.56e+02,5.60e-01, 
-2.38000e-02,1.40e+02,8.00e-01, 
-2.36000e-02,1.40e+02,8.00e-01, 
-2.34000e-02,1.20e+02,1.12e+00, 
-2.32000e-02,1.20e+02,1.04e+00, 
-2.30000e-02,1.08e+02,1.20e+00, 
-2.28000e-02,1.12e+02,1.20e+00, 
-2.26000e-02,9.60e+01,1.36e+00, 
-2.24000e-02,9.60e+01,1.36e+00, 
-2.22000e-02,8.00e+01,1.52e+00, 
-2.20000e-02,7.60e+01,1.60e+00, 
-2.18000e-02,6.00e+01,1.76e+00, 
-2.16000e-02,5.60e+01,1.76e+00, 
-2.14000e-02,4.40e+01,1.92e+00, 
-2.12000e-02,4.40e+01,1.92e+00, 
-2.10000e-02,2.80e+01,2.16e+00, 
-2.08000e-02,2.40e+01,2.24e+00, 
-2.06000e-02,0.00e+00,2.48e+00, 
-2.04000e-02,-4.00e+00,2.56e+00, 
-2.02000e-02,-2.80e+01,2.80e+00, 
-2.00000e-02,-3.20e+01,2.88e+00, 
-1.98000e-02,-4.80e+01,3.12e+00, 
-1.96000e-02,-5.20e+01,3.12e+00, 
-1.94000e-02,-6.80e+01,3.36e+00, 
-1.92000e-02,-6.80e+01,3.36e+00, 
-1.90000e-02,-8.40e+01,3.44e+00, 
-1.88000e-02,-8.40e+01,3.52e+00, 
-1.86000e-02,-9.60e+01,3.68e+00, 
-1.84000e-02,-1.00e+02,3.68e+00, 
-1.82000e-02,-1.12e+02,3.84e+00, 
-1.80000e-02,-1.12e+02,3.76e+00, 
-1.78000e-02,-1.24e+02,3.92e+00, 
-1.76000e-02,-1.24e+02,3.92e+00, 
-1.74000e-02,-1.32e+02,4.24e+00, 
-1.72000e-02,-1.36e+02,4.24e+00, 
-1.70000e-02,-1.44e+02,4.40e+00, 
-1.68000e-02,-1.48e+02,4.32e+00, 
-1.66000e-02,-1.56e+02,4.48e+00, 
-1.64000e-02,-1.56e+02,4.40e+00, 
-1.62000e-02,-1.60e+02,4.56e+00, 
-1.60000e-02,-1.60e+02,4.32e+00, 
-1.58000e-02,-1.56e+02,4.56e+00, 
-1.56000e-02,-1.56e+02,4.40e+00, 
-1.54000e-02,-1.56e+02,4.56e+00, 
-1.52000e-02,-1.56e+02,4.48e+00, 
-1.50000e-02,-1.56e+02,4.24e+00, 
-1.48000e-02,-1.56e+02,4.40e+00, 
-1.46000e-02,-1.56e+02,4.32e+00, 
-1.44000e-02,-1.56e+02,4.40e+00, 
-1.42000e-02,-1.52e+02,4.56e+00, 
-1.40000e-02,-1.56e+02,4.48e+00, 
-1.38000e-02,-1.36e+02,4.24e+00, 
-1.36000e-02,-1.36e+02,4.24e+00, 
-1.34000e-02,-1.16e+02,4.08e+00, 
-1.32000e-02,-1.16e+02,4.00e+00, 
-1.30000e-02,-1.04e+02,3.92e+00, 
-1.28000e-02,-1.04e+02,3.92e+00, 
-1.26000e-02,-9.20e+01,3.68e+00, 
-1.24000e-02,-8.80e+01,3.68e+00, 
-1.22000e-02,-7.20e+01,3.44e+00, 
-1.20000e-02,-7.20e+01,3.44e+00, 
-1.18000e-02,-5.60e+01,3.28e+00, 
-1.16000e-02,-5.60e+01,3.28e+00, 
-1.14000e-02,-4.00e+01,3.12e+00, 
-1.12000e-02,-4.00e+01,3.12e+00, 
-1.10000e-02,-2.00e+01,2.96e+00, 
-1.08000e-02,-2.00e+01,2.88e+00, 
-1.06000e-02,4.00e+00,2.56e+00, 
-1.04000e-02,8.00e+00,2.56e+00, 
-1.02000e-02,3.20e+01,2.24e+00, 
-1.00000e-02,3.20e+01,2.24e+00, 
-9.80000e-03,5.60e+01,1.92e+00, 
-9.60000e-03,5.20e+01,1.92e+00, 
-9.40000e-03,7.20e+01,1.68e+00, 
